0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
11.0,-2.8887737033425802,0.47059067572549418,-0.78432166050028596,0.40785240782524129,-4.3149853121803901,0.78724855981420372,0.54129535805157136,0.4713425340935255,-4.3451003099077701,-0.69397687955466303,-3.4796055031851401,0.22417803517666055,-2.8488750153878395,0.15459139622910587,-0.88924790228053796,0.63755255182657433,-3.1152061263179798,0.36578624856137204,-4.1470570334610599,-0.80156732585909307,0.097513732206036624,-3.6830823393036698,0.21046360956925883,-4.202594250682,0.44364281824326307,-0.085887229296990303,0.043954593451892017,0.0039499294665984808,-4.1449740113166502,0.14121359910316836,0.14902983123918107,-2.2186597084811601,-1.8931797240635602,-2.4561633208387996,0.17104635290254624,-3.8870308626191803,0.14406220236536652,-3.9230562023172202,-0.0051213511421290669,-0.84598140958571699,-0.54065193113292997,0.12342985731105813,0.0,0.0,0.43177106208882987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93003532615124895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.44491726661150832,0.47059067572549418,0.14349244809890832,-3.6862444746985901,-3.52700628345782,0.78724855981420372,0.54129535805157136,-3.3951558582084305,-3.5141887330360602,-0.65320911159499206,0.3908080636828683,0.22417803517666055,-1.9659518056666001,0.0,0.0,-3.5450282315748503,0.32424925699906759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76526159365491409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-2.12681220343819,-2.3808801863806002,0.0,0.40785240782524129,-0.071409396673721037,-2.6233913714662003,0.54129535805157136,-2.4160924742572503,-2.2005106532700096,0.0,0.3908080636828683,0.22417803517666055,0.52164925601430867,0.15459139622910587,0.17542441629286953,-2.5044261899190401,0.32424925699906759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22040698402757347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,-0.96658607178111211,0.47059067572549418,0.0,-1.1640187532670601,-0.071409396673721037,0.78724855981420372,0.54129535805157136,0.4713425340935255,0.42491262864776452,0.0,0.0,0.0,0.52164925601430867,-1.15911782305678,0.17542441629286953,-0.8838530674849191,-0.99643154109069498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0246960600644499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,-1.5244927645987401,-1.5186042494150502,0.0,0.40785240782524129,-1.2752239285310101,-1.6229274914273601,-1.4507677836180999,0.4713425340935255,0.42491262864776452,0.0,0.0,0.0,0.52164925601430867,0.15459139622910587,-1.5452662006920201,0.63755255182657433,-1.5715648292051203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22040698402757347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90892931736809068,-1.0855551852926399,-0.90291542752726794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.44491726661150832,0.47059067572549418,0.0,-1.5356187449258998,-0.071409396673721037,0.78724855981420372,-1.2134908214499298,-1.0474946104717899,-1.1106070842917899,0.0,0.0,0.0,-1.4139568569662999,-1.5291532474608898,0.17542441629286953,0.63755255182657433,-1.3145311862370102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35181883734279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,-2.8566002159824198,-1.5187301790276699,0.14349244809890832,-3.2003273148037303,-2.4557312416650201,0.78724855981420372,0.54129535805157136,-2.7293051539490896,-2.6264868034709599,0.029260704288987995,-1.9758256095071598,-0.66840194749807702,0.52164925601430867,0.15459139622910587,-0.81807665410990404,-2.6376010512648,0.32424925699906759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039499294665984808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22040698402757347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.574354008083699,0.13310363130457203,0.022633978016917914,8.4352084457112895,17.6374520523363,12.313905190348899,0.49893714715658755,0.44364281824326307,-0.085887229296990303,11.199287465986799,0.0039499294665984808,0.3321278215297418,8.7291230916526406,9.7398953794317595,-0.060434261853082268,-0.080673154873879119,0.0,7.89710117486662,-0.15557288970872207,10.754015561547,0.30950421256377947,8.5166151380800201,0.1220016482031578,8.8924501541522307,11.0935252429474,16.752742622115399,16.514885636806099,0.43177106208882987,16.001181367630998,0.15357201655315955,16.402083838466599,0.0,-0.019553920418221536,16.2396262283741,6.4281826441155401,7.0124495514733098,14.5802686923049,-0.34949136181910739,-0.029403337285136617,17.772689339701103,8.0906199950436104,0.0,0.084412261103899197,0.070312323770767585,0.42390109876921828,0.21175039430756409,-0.2069268947379414,14.163569198833999,-0.038036157544635463,10.2824351205028,0.0,0.0,7.1252990086919494,6.6851426107068708,0.17352534655181409,17.898004626502601,0.090871843544981803,-0.0084176677911931095,15.9575097564181,0.10409047178347809,0.77501300139658602,0.029117470009047491,7.22648629949766,-0.14343897244395706,9.8159526514828208,14.861743960424599,7.8661974807807802,0.19949590833327588,0.14683769019737755,0.27022779896698429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.44491726661150832,6.8058803897597597,5.5527759398443495,0.40785240782524129,-0.071409396673721037,0.78724855981420372,0.54129535805157136,0.4713425340935255,0.42491262864776452,0.029260704288987995,0.3908080636828683,6.3643867743352303,11.294176753797,0.0,0.0,0.63755255182657433,13.1992696009623,15.1225111136275,0.13310363130457203,8.0537542965510696,0.097513732206036624,13.430148073776,7.4761380496454199,0.49893714715658755,15.941599805610799,13.852935150830399,0.043954593451892017,0.0039499294665984808,14.960950599080501,0.14121359910316836,0.14902983123918107,-0.060434261853082268,-0.080673154873879119,0.0,7.8977985082527491,15.083112818943501,0.14406220236536652,15.1214260608398,-0.0051213511421290669,8.5000051679389603,0.042323622427629368,6.73520909016771,16.649957315064398,0.11433212235118959,0.43177106208882987,15.875891870199199,0.15357201655315955,0.49096669012698235,0.0,9.1344460300546597,17.569643751849199,0.029426680092656535,6.8221794834640708,15.659557882008199,-0.34949136181910739,-0.029403337285136617,19.349303433991803,7.8710957324597297,0.0,0.084412261103899197,5.9319893973925595,16.9144569510403,15.409487802433,-0.2069268947379414,15.2237297331317,10.7691705718767,0.14834068583536791,0.0,0.0,6.9319669758525704,6.5037534214009103,7.8875774516004906,0.42203926435327138,0.090871843544981803,6.2578379522564802,0.12024596175303622,11.4175324113348,18.173000488939699,0.029117470009047491,8.4327727351156003,-0.14343897244395706,-0.082918333588031939,16.140709985371199,7.6527625150593197,18.889007931614898,0.14683769019737755,15.3922218017065,6.87390294855782,0.70519412822798822,6.8623866761553494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36578624856137204,10.9233563331273,0.0,0.0,0.068419670136588895,0.0,9.8389421435857205,0.44364281824326307,10.7741088520816,0.0,0.0039499294665984808,0.3321278215297418,0.0,0.0,0.0,0.0,0.096267968699636705,9.5882153575036,-0.15557288970872207,0.0,12.085944521414401,0.0,0.0,0.0,0.0,0.0,0.0,12.291674964960402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
